Date,Primary Type,Location Description,Arrest,Ward,Year,Latitude,Longitude
09/06/23 3:30,OFFENSE INVOLVING CHILDREN,APARTMENT,true,35,2023,41.92147059,-87.73280178
09/06/23 22:30,OTHER OFFENSE,APARTMENT,false,37,2023,41.88302827,-87.76163663
09/06/23 10:06,ROBBERY,SMALL RETAIL STORE,false,14,2023,41.81797649,-87.7239343
09/06/23 20:00,THEFT,VEHICLE NON-COMMERCIAL,false,3,2023,41.81383396,-87.6167124
08/25/2024 10:00:00 PM,BATTERY,SIDEWALK,false,27,2024,41.88382912,-87.69636154
09/06/23 14:00,ASSAULT,APARTMENT,false,48,2023,41.97418701,-87.65635555
09/01/23 14:30,THEFT,RESIDENCE,false,6,2023,41.73192176,-87.61530451
08/25/2024 01:40:00 AM,BATTERY,APARTMENT,false,27,2024,41.89252748,-87.71988759
09/06/23 21:25,BATTERY,RESIDENCE - YARD (FRONT / BACK),false,21,2023,41.69401925,-87.65540571
09/06/23 14:00,MOTOR VEHICLE THEFT,STREET,false,27,2023,41.87860416,-87.68509631
07/23/2023 12:00:00 AM,OTHER OFFENSE,RESIDENCE,false,18,2023,41.75463936,-87.67682005
09/06/23 2:30,CRIMINAL DAMAGE,STREET,false,6,2023,41.74506971,-87.61354571
09/06/23 12:25,BURGLARY,RESIDENCE,false,6,2023,41.76800205,-87.61853502
09/06/23 3:01,BURGLARY,RESIDENCE - GARAGE,false,40,2023,41.97187292,-87.69256893
09/06/23 21:10,BATTERY,APARTMENT,true,7,2023,41.75536484,-87.56582647
09/06/23 2:10,CRIMINAL TRESPASS,BAR OR TAVERN,true,45,2023,41.96110208,-87.76726326
08/29/2023 03:56:00 PM,CRIMINAL TRESPASS,RESIDENCE - YARD (FRONT / BACK),false,16,2023,41.78767082,-87.64741635
09/06/23 8:05,THEFT,STREET,false,20,2023,41.78309281,-87.60844576
09/06/23 18:18,THEFT,SMALL RETAIL STORE,false,46,2023,41.96307079,-87.65598421
09/06/23 19:00,MOTOR VEHICLE THEFT,STREET,false,18,2023,41.75255818,-87.71625267
09/06/23 23:00,MOTOR VEHICLE THEFT,PARKING LOT / GARAGE (NON RESIDENTIAL),false,10,2023,41.66581486,-87.55885388
09/06/23 1:34,ASSAULT,APARTMENT,false,37,2023,41.89119345,-87.75581232
04/19/2023 11:30:00 AM,KIDNAPPING,STREET,false,24,2023,41.86628662,-87.71572561
09/06/23 20:01,BURGLARY,RESIDENCE,false,37,2023,41.8940089,-87.75143458
09/06/23 23:25,ROBBERY,BAR OR TAVERN,true,40,2023,41.96764805,-87.69376956
09/06/23 0:53,MOTOR VEHICLE THEFT,STREET,false,24,2023,41.85148767,-87.72877699
09/06/23 2:00,THEFT,STREET,false,1,2023,41.90599196,-87.67837587
